cruce_id,tipo_modelo,usa_reconfiguracion,version_prog_id,descripcion
2,RECONFIG,1,2,Base + HCALL + prevaciado + reconfiguración
3,NOREPROG,0,1,Base + HCALL + prevaciado + noreprog/base
4,RECONFIG,1,2,Base + HCALL + prevaciado + reconfiguración
5,NOREPROG,0,1,Base + HCALL + prevaciado + noreprog/base
6,RECONFIG,1,2,Base + HCALL + prevaciado + reconfiguración
7,NOREPROG,0,1,Base + HCALL + prevaciado + noreprog/base
8,RECONFIG,1,2,Base + HCALL + prevaciado + reconfiguración
10,RECONFIG,1,2,Base + HCALL + prevaciado + reconfiguración
11,RECONFIG,1,2,Base + HCALL + prevaciado + reconfiguración
12,RECONFIG,1,2,Base + HCALL + prevaciado + reconfiguración
13,NOREPROG,0,1,Base + HCALL + prevaciado + noreprog/base
14,RECONFIG,1,2,Base + HCALL + prevaciado + reconfiguración
15,NOREPROG,0,1,Base + HCALL + prevaciado + noreprog/base
16,NOREPROG,0,1,Base + HCALL + prevaciado + noreprog/base
17,NOREPROG,0,1,Base + HCALL + prevaciado + noreprog/base
18,NOREPROG,0,1,Base + HCALL + prevaciado + noreprog/base
19,NOREPROG,0,1,Base + HCALL + prevaciado + noreprog/base
20,NOREPROG,0,1,Base + HCALL + prevaciado + noreprog/base
21,NOREPROG,0,1,Base + HCALL + prevaciado + noreprog/base
22,NOREPROG,0,1,Base + HCALL + prevaciado + noreprog/base
23,NOREPROG,0,1,Base + HCALL + prevaciado + noreprog/base
24,NOREPROG,0,1,Base + HCALL + prevaciado + noreprog/base
